pclass,sex,age,sibsp,fare,cabin,embarked,survived,Cluster
1,1,38.0,1.0,71.2833,C85,1,1,2
1,1,35.0,1.0,53.1,C123,0,1,2
1,0,54.0,0.0,51.8625,E46,0,0,1
3,1,4.0,1.0,16.7,G6,0,1,0
1,1,58.0,0.0,26.55,C103,0,1,1
2,0,34.0,0.0,13.0,D56,0,1,0
1,0,28.0,0.0,35.5,A6,0,1,1
1,0,19.0,3.0,263.0,C23 C25 C27,0,0,2
1,1,30.0,1.0,146.5208,B78,1,1,2
1,1,49.0,1.0,76.7292,D33,1,1,2
1,0,65.0,0.0,61.9792,B30,1,0,1
1,0,30.0,0.0,35.5,C52,0,1,1
1,0,45.0,1.0,83.475,C83,0,0,1
2,1,29.0,0.0,10.5,F33,0,1,0
3,0,25.0,0.0,7.65,F G73,0,0,0
1,1,23.0,3.0,263.0,C23 C25 C27,0,1,2
1,0,46.0,1.0,61.175,E31,0,0,1
1,0,71.0,0.0,34.6542,A5,1,0,1
1,0,23.0,0.0,63.3583,D10 D12,1,1,1
1,0,21.0,0.0,77.2875,D26,0,0,1
1,0,47.0,0.0,52.0,C110,0,0,1
1,0,24.0,0.0,247.5208,B58 B60,1,0,2
2,1,32.5,0.0,13.0,E101,0,1,0
1,0,54.0,0.0,77.2875,D26,0,0,1
3,1,30.0,1.0,22.3583,F E69,1,1,0
1,1,19.0,0.0,26.2833,D47,0,1,2
1,0,37.0,1.0,53.1,C123,0,0,1
1,0,24.0,0.0,79.2,B86,1,0,1
2,0,36.5,0.0,26.0,F2,0,0,0
1,1,22.0,1.0,66.6,C2,0,1,2
1,1,30.0,0.0,55.0,E33,0,1,2
1,0,61.0,0.0,33.5,B19,0,0,1
1,0,56.0,0.0,30.6958,A7,1,0,1
1,1,50.0,0.0,28.7125,C49,1,0,2
2,0,1.0,2.0,39.0,F4,0,1,0
1,0,30.0,0.0,50.0,A32,0,0,1
2,0,3.0,1.0,26.0,F2,0,1,0
1,1,44.0,0.0,27.7208,B4,1,1,2
1,1,58.0,0.0,146.5208,B80,1,1,2
3,1,2.0,0.0,10.4625,G6,0,0,0
1,0,40.0,0.0,31.0,A31,1,1,1
1,1,31.0,1.0,113.275,D36,1,1,2
1,1,32.0,0.0,76.2917,D15,1,1,2
1,0,38.0,1.0,90.0,C93,0,1,1
1,1,35.0,1.0,83.475,C83,0,1,2
1,0,44.0,2.0,90.0,C78,2,0,2
1,0,37.0,1.0,52.5542,D35,0,1,1
3,1,29.0,1.0,10.4625,G6,0,0,0
1,0,62.0,0.0,26.55,C87,0,0,1
1,1,30.0,0.0,86.5,B77,0,1,2
1,0,52.0,1.0,79.65,E67,0,0,1
1,0,40.0,0.0,0.0,B94,0,0,1
1,1,58.0,0.0,153.4625,C125,0,1,2
1,1,35.0,0.0,135.6333,C99,0,1,2
1,0,37.0,0.0,29.7,C118,1,0,1
1,1,63.0,1.0,77.9583,D7,0,1,2
1,0,30.0,0.0,26.0,A19,0,0,1
1,1,19.0,1.0,91.0792,B49,1,1,2
2,0,36.0,0.0,12.875,D,1,0,0
1,1,2.0,1.0,151.55,C22 C26,0,0,2
1,0,30.0,0.0,30.5,C106,0,1,1
1,1,50.0,0.0,247.5208,B58 B60,1,1,2
2,1,30.0,0.0,12.35,E101,2,1,0
1,0,0.92,1.0,151.55,C22 C26,0,1,2
1,1,17.0,1.0,108.9,C65,1,1,2
1,1,30.0,0.0,56.9292,E36,1,1,2
1,1,24.0,0.0,83.1583,C54,1,1,2
1,1,18.0,2.0,262.375,B57 B59 B63 B66,1,1,2
1,1,31.0,0.0,164.8667,C7,0,1,2
1,1,40.0,1.0,134.5,E34,1,1,2
1,1,36.0,0.0,135.6333,C32,1,1,2
2,1,36.0,0.0,13.0,D,0,1,0
1,1,16.0,0.0,57.9792,B18,1,1,2
1,0,45.5,0.0,28.5,C124,0,0,1
1,0,38.0,0.0,153.4625,C91,0,0,1
1,0,29.0,1.0,66.6,C2,0,0,1
1,1,41.0,0.0,134.5,E40,1,1,2
1,0,45.0,0.0,35.5,T,0,0,1
2,0,2.0,1.0,26.0,F2,0,1,0
1,1,24.0,3.0,263.0,C23 C25 C27,0,1,2
2,1,24.0,0.0,13.0,F33,0,1,0
1,0,30.0,0.0,35.0,C128,0,0,1
1,1,22.0,0.0,55.0,E33,0,1,2
1,1,60.0,1.0,75.25,D37,1,1,2
1,1,24.0,0.0,69.3,B35,1,1,2
1,0,25.0,1.0,55.4417,E50,1,1,1
1,0,27.0,0.0,211.5,C82,1,0,2
1,0,36.0,1.0,120.0,B96 B98,0,1,1
1,1,23.0,1.0,113.275,D36,1,1,2
3,1,24.0,0.0,16.7,G6,0,1,0
1,1,33.0,1.0,90.0,C78,2,1,2
3,0,32.0,0.0,8.05,E10,0,1,0
1,0,28.0,0.0,26.55,C52,0,1,1
1,0,50.0,1.0,55.9,E44,0,0,1
1,1,14.0,1.0,120.0,B96 B98,0,1,2
1,0,64.0,1.0,263.0,C23 C25 C27,0,0,1
1,0,4.0,0.0,81.8583,A34,0,1,1
1,0,52.0,0.0,30.5,C104,0,1,1
1,0,30.0,0.0,27.75,C111,1,0,1
1,0,49.0,1.0,89.1042,C92,1,1,1
1,0,65.0,0.0,26.55,E38,0,0,1
1,1,30.0,1.0,51.8625,D21,0,1,2
1,0,48.0,0.0,26.55,E12,0,1,1
1,0,47.0,0.0,38.5,E63,0,0,1
2,1,23.0,0.0,13.7917,D,1,1,0
1,0,30.0,0.0,52.0,A14,0,0,1
1,0,25.0,1.0,91.0792,B49,1,1,1
1,1,35.0,1.0,90.0,C93,0,1,2
1,0,58.0,0.0,29.7,B37,1,0,1
1,0,55.0,0.0,30.5,C30,0,0,1
1,1,54.0,1.0,78.2667,D20,1,1,2
1,1,25.0,1.0,151.55,C22 C26,0,0,2
1,1,16.0,0.0,86.5,B79,0,1,2
1,0,18.0,1.0,108.9,C65,1,0,2
1,0,36.0,0.0,26.2875,E25,0,1,1
1,0,47.0,0.0,34.0208,D46,0,0,1
2,1,34.0,0.0,10.5,F33,0,1,0
1,1,30.0,0.0,93.5,B73,0,1,2
1,1,44.0,0.0,57.9792,B18,1,1,2
1,0,30.0,0.0,221.7792,C95,0,0,1
1,0,45.0,0.0,26.55,B38,0,0,1
1,1,22.0,0.0,49.5,B39,1,1,2
1,1,36.0,0.0,71.0,B22,0,1,2
1,0,50.0,1.0,106.425,C86,1,0,1
1,0,17.0,0.0,110.8833,C70,1,1,1
1,1,48.0,1.0,39.6,A16,1,1,2
1,1,39.0,1.0,79.65,E67,0,1,2
1,1,53.0,2.0,51.4792,C101,0,1,2
1,0,36.0,0.0,26.3875,E25,0,1,1
1,1,39.0,1.0,55.9,E44,0,1,2
1,1,39.0,1.0,110.8833,C68,1,1,2
1,0,36.0,0.0,40.125,A10,1,0,1
1,1,18.0,0.0,79.65,E68,0,1,2
1,0,60.0,1.0,79.2,B41,1,1,1
1,1,52.0,1.0,78.2667,D20,1,1,2
1,0,49.0,1.0,56.9292,A20,1,1,1
1,1,40.0,0.0,153.4625,C125,0,1,2
2,1,4.0,2.0,39.0,F4,0,1,0
1,0,42.0,1.0,52.5542,D19,0,1,1
1,0,61.0,0.0,32.3208,D50,0,0,1
1,1,21.0,0.0,77.9583,D9,0,1,2
1,0,80.0,0.0,30.0,A23,0,1,1
1,0,32.0,0.0,30.5,B50,1,1,1
1,1,24.0,0.0,69.3,B35,1,1,2
1,0,48.0,1.0,76.7292,D33,1,1,1
1,0,56.0,0.0,35.5,A26,1,1,1
1,0,58.0,0.0,113.275,D48,1,0,1
1,0,47.0,0.0,25.5875,E58,0,0,1
1,1,30.0,1.0,52.0,C126,0,1,2
1,0,31.0,1.0,52.0,B71,0,0,1
1,0,36.0,0.0,512.3292,B51 B53 B55,1,1,2
1,0,27.0,0.0,76.7292,D49,1,1,1
1,1,15.0,0.0,211.3375,B5,0,1,2
1,0,31.0,1.0,57.0,B20,0,1,1
1,0,49.0,1.0,110.8833,C68,1,0,1
3,0,42.0,0.0,7.65,F G63,0,0,0
1,1,18.0,1.0,227.525,C62 C64,1,1,2
1,0,35.0,0.0,26.2875,E24,0,1,1
1,0,42.0,0.0,26.2875,E24,0,1,1
1,1,24.0,0.0,49.5042,C90,1,1,2
1,0,30.0,0.0,26.55,C124,0,0,1
1,0,48.0,1.0,52.0,C126,0,1,1
3,0,19.0,0.0,7.65,F G73,0,0,0
1,1,38.0,0.0,227.525,C45,1,1,2
2,1,27.0,0.0,10.5,E101,0,1,0
1,0,27.0,1.0,53.1,E8,0,1,1
1,1,29.0,0.0,211.3375,B5,0,1,2
1,0,35.0,0.0,512.3292,B101,1,1,2
1,0,30.0,0.0,30.0,D45,0,1,1
1,0,36.0,1.0,78.85,C46,0,0,1
1,1,21.0,2.0,262.375,B57 B59 B63 B66,1,1,2
1,0,70.0,1.0,71.0,B22,0,0,1
1,0,19.0,1.0,53.1,D30,0,0,1
3,0,6.0,0.0,12.475,E121,0,1,0
1,1,33.0,0.0,86.5,B77,0,1,2
1,1,36.0,1.0,120.0,B96 B98,0,1,2
1,1,51.0,1.0,77.9583,D11,0,1,2
2,1,57.0,0.0,10.5,E77,0,0,0
3,0,30.0,0.0,7.75,F38,2,0,0
1,1,43.0,0.0,211.3375,B3,0,1,2
1,1,17.0,1.0,57.0,B20,0,1,2
1,0,29.0,0.0,30.0,D6,0,0,1
1,0,46.0,0.0,79.2,B82 B84,1,0,1
1,1,49.0,0.0,25.9292,D17,0,1,1
1,0,11.0,1.0,120.0,B96 B98,0,1,1
1,0,39.0,0.0,0.0,A36,0,0,1
1,1,33.0,1.0,53.1,E8,0,1,2
1,0,30.0,0.0,0.0,B102,0,0,1
1,1,52.0,1.0,93.5,B69,0,1,2
3,1,27.0,0.0,12.475,E121,0,1,0
1,1,39.0,1.0,83.1583,E49,1,1,2
1,0,30.0,0.0,29.7,C47,1,1,1
1,1,30.0,1.0,89.1042,C92,1,1,2
1,1,16.0,0.0,39.4,D28,0,1,2
1,0,51.0,0.0,26.55,E17,0,1,1
1,1,48.0,0.0,25.9292,D17,0,1,1
1,0,31.0,0.0,50.4958,A24,0,0,1
1,1,47.0,1.0,52.5542,D35,0,1,2
1,0,33.0,0.0,5.0,B51 B53 B55,0,0,1
1,1,56.0,0.0,83.1583,C50,1,1,2
1,1,19.0,0.0,30.0,B42,0,1,2
1,0,26.0,0.0,30.0,C148,1,1,1
